,,,,,,,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
" ""00000""",United States, ,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43495,41841,42490,43545,44548,44200,45571,47253,47636,48607,49656,51167,53772,55477
" ""01000""",AL,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,39705,39335,39114,39312,39355,39128,39629,41471,41196,42274,44102,44695,47661,48984
" ""02000""",AK,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,47820,46890,50023,51021,51940,50832,52581,53559,51547,51509,52783,54361,56198,54666
" ""04000""",AZ,6,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,36905,34442,35207,36290,37186,37151,38470,40023,40321,42048,43142,44834,47551,49766
" ""05000""",AR,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,38522,38304,37824,38733,40690,40177,41949,43225,43772,44864,46038,46061,48168,49099
" ""06000""",CA,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,42050,40637,41773,43012,44425,44262,46055,48498,50137,50129,50864,53319,56973,59449
" ""08000""",CO,7,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,44263,41844,42540,43471,44418,45474,48367,49493,49298,50715,54000,55293,56792,59545
" ""09000""",CT,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,59248,58218,60917,60243,60372,57990,59897,61470,62026,61770,64812,66384,67496,70424
" ""10000""",DE,2,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43056,42671,42132,44492,44334,44395,44750,47093,47336,48341,49166,50033,52657,53226
" ""12000""",FL,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,41081,38855,40345,40832,41069,40258,41919,43693,44045,45928,47453,49813,51344,53258
" ""13000""",GA,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,39677,39530,38285,39961,39232,39176,40808,42845,43355,44623,45753,47441,49696,50524
" ""15000""",HI,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40589,38976,39512,39706,40160,38854,40455,41649,42718,43744,43549,44666,45839,46694
" ""16000""",ID,7,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,36635,34901,36041,36269,37570,38172,38933,40514,41565,41465,43618,45269,49109,49501
" ""17000""",IL,3,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,45973,43052,43399,44139,45507,46191,47943,50400,50167,50428,52025,53512,55766,57522
" ""18000""",IN,3,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40605,39233,39815,41448,42372,42051,42894,44937,45568,46794,46834,47875,51286,52851
" ""19000""",IA,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,46556,44203,43743,46278,47029,46822,47245,49839,49338,50002,49558,50072,53305,55364
" ""20000""",KS,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,48255,45483,44655,46993,48234,48711,48651,49227,49164,50212,50721,51956,54766,56075
" ""21000""",KY,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,38854,38758,38550,38990,39559,38908,40141,41940,42231,42853,43633,44673,48175,49900
" ""22000""",LA,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,44038,42714,42641,42437,43550,43393,44452,44558,43518,45095,46967,47640,50413,51528
" ""23000""",ME,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40310,40618,41763,42203,42064,41220,43681,44310,45388,45047,45633,48748,50726,52193
" ""24000""",MD,2,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,48129,46970,48080,48449,49363,47724,48498,50347,51896,52333,52690,54016,55709,57017
" ""25000""",MA,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,52013,51653,52994,53610,54724,54483,55020,57983,57582,58739,59922,62159,64839,68104
" ""26000""",MI,3,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,39952,38144,39113,40587,41508,41116,41980,44969,45777,46664,46528,47012,50960,51996
" ""27000""",MN,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,47537,44355,45665,47396,48980,48274,49262,51832,52063,53003,52459,53908,57437,58419
" ""28000""",MS,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,36642,36969,36586,36919,37817,37710,37838,38708,38871,39785,40734,41574,44912,45960
" ""29000""",MO,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,44315,42565,41506,42301,43448,42857,43267,45270,46200,46576,47398,48257,50999,52155
" ""30000""",MT,7,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,39637,39035,40837,41134,43421,42794,43471,44261,45026,46241,47703,48664,53284,53952
" ""31000""",NE,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,47352,45909,46397,50390,50207,49649,51280,53234,51813,52811,52348,53464,56057,57869
" ""32000""",NV,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40580,37223,38879,38760,39295,39276,40988,43815,44898,44897,47796,48520,51493,54671
" ""33000""",NH,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,45978,46354,47885,48973,50248,49454,50521,51846,51900,52214,54265,56718,58774,61946
" ""34000""",NJ,2,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,51419,47841,49254,49423,49997,49759,50968,52730,53474,54004,54112,56083,58321,61239
" ""35000""",NM,6,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,37616,36457,37260,36885,37084,36310,37966,39123,39653,38965,41611,42785,46058,48544
" ""36000""",NY,2,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,46042,45241,46566,47009,48555,48203,49485,51006,51917,54127,54764,56039,58675,60870
" ""37000""",NC,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43187,41678,40158,40050,41762,40259,41606,43519,43801,45245,46201,48343,51226,51948
" ""38000""",ND,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,50196,47887,50928,55265,60252,58246,59907,56531,54593,56040,56190,55759,59552,61441
" ""39000""",OH,3,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,42244,40730,41262,43327,43818,43710,44732,46727,46969,47958,48107,48896,52473,53367
" ""40000""",OK,6,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,45926,42531,42564,44091,45839,47056,49003,47372,44413,46209,47822,49507,50759,51770
" ""41000""",OR,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40221,37635,38140,38598,39256,39401,41442,43335,44620,44684,44726,46241,49746,51862
" ""42000""",PA,2,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,44702,43451,44635,45825,46801,46656,48069,49349,50343,50002,51879,52933,56014,57861
" ""44000""",RI,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43303,42109,44404,44924,46033,44463,46215,46874,46982,47021,47653,49696,53064,54707
" ""45000""",SC,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,38048,37131,36806,37446,38580,38120,39694,41508,41961,43509,44305,46469,48686,48578
" ""46000""",SD,4,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,50811,48225,48815,51905,49908,49969,51076,53578,53025,54092,52815,54869,60137,62032
" ""47000""",TN,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,40418,40368,40406,41225,42016,41666,42565,44369,44389,45563,48415,49312,52187,54005
" ""48000""",TX,6,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43473,40765,41614,44005,45168,44954,46688,46628,45536,47758,49189,50030,50822,52722
" ""49000""",UT,7,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,36980,33911,34514,35007,36310,36597,38010,40251,41571,41382,44096,45595,49521,51375
" ""50000""",VT,1,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,43091,42763,44015,45457,45627,45269,47167,47443,47988,47860,48351,50815,52432,54412
" ""51000""",VA,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,46769,45756,45787,46928,48109,46308,47265,48908,49750,51129,51315,53768,55519,56238
" ""53000""",WA,8,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,45154,42370,43379,43911,46258,46306,47942,49867,50413,50375,51994,54161,57175,58777
" ""54000""",WV,5,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,38053,38838,38365,39439,39821,38782,39402,39996,39750,41651,42818,44329,46738,46344
" ""55000""",WI,3,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,44405,43194,43293,44770,45649,45238,46193,48362,48537,49276,50128,51026,54492,55412
" ""56000""",WY,7,SARPI,2,..., Real per capita personal income (constant (2012) dollars) 2/,Constant 2012 dollars,55009,48950,50955,53149,55884,54931,57474,57422,53973,55697,60694,62295,64958,66108
