State,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs 2010,# of Jobs 2022
AL,42,0.37,7,1903600,2120500
AK,2,2.21,6.8,314100,311500
AZ,43,0.33,8,2429900,3153500
AR,27,0.89,10.3,1172800,1330300
CA,33,0.77,111.2,14493800,17922400
CO,26,0.9,20.2,2253600,2923900
CT,37,0.52,8.6,1650200,1682600
DE,12,1.28,5.3,419900,462800
FL,28,0.87,62.9,7289100,9669100
GA,36,0.64,24.8,3896400,4873100
HI,16,1.13,6.7,600500,628700
ID,46,0.08,0.5,605500,827800
IL,22,1.04,58.5,5687200,6141300
IN,23,1.04,29.1,2833000,3228200
IA,35,0.73,10.8,1487800,1593100
KS,39,0.49,6.5,1346300,1427600
KY,9,1.37,24.3,1792400,1986100
LA,41,0.38,7.3,1905800,1958700
ME,45,0.1,0.6,596200,638900
MD,19,1.09,27.6,2557500,2757800
MA,14,1.22,39.3,3264100,3734800
MI,8,1.39,53.7,3926300,4386800
MN,31,0.79,21,2664500,2952700
MS,34,0.75,8.2,1098000,1160300
MO,47,,0.1,2690100,2946900
MT,44,0.14,0.6,427400,506400
NE,30,0.84,7.9,953700,1047800
NV,50,-0.84,-9.5,1124600,1483900
NH,40,0.43,2.7,632800,689900
NJ,49,-0.63,-24.4,3878100,4303500
NM,48,-0.17,-1.4,805600,860200
NY,15,1.15,99.2,8707400,9661800
NC,24,1,38.8,3920200,4887600
ND,1,4.19,15.6,388200,428300
OH,17,1.12,56.5,5106900,5532800
OK,6,1.46,22.7,1580300,1712900
OR,18,1.1,17.7,1624900,2006800
PA,7,1.39,78.5,5712100,6081800
RI,38,0.52,2.4,466200,498600
SC,4,1.64,29.5,1825200,2258400
SD,10,1.3,5.2,404900,455000
TN,11,1.28,33.6,2657900,3301900
TX,3,2.1,217.4,10551200,13817100
UT,13,1.24,14.7,1204500,1689800
VT,21,1.06,3.2,306300,307100
VA,20,1.08,39.3,3689900,4119300
WA,25,0.95,26.8,2859000,3562400
WV,29,0.85,6.1,724100,712000
WI,32,0.78,21.4,2753300,2962500
WY,5,1.5,4.2,284600,285800
United States,,0.73,951,131624000,154771000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
